Lab,Batch,Y,X1,X2,X3
1,1,608.781,-1,-1,-1
1,2,569.67,-1,-1,-1
1,1,689.556,-1,-1,-1
1,2,747.541,-1,-1,-1
1,1,618.134,-1,-1,-1
1,2,612.182,-1,-1,-1
1,1,680.203,-1,-1,-1
1,2,607.766,-1,-1,-1
1,1,726.232,-1,-1,-1
1,2,605.38,-1,-1,-1
1,1,518.655,-1,-1,-1
1,2,589.226,-1,-1,-1
1,1,740.447,-1,-1,-1
1,2,588.375,-1,-1,-1
1,1,666.83,-1,-1,-1
1,2,531.384,-1,-1,-1
1,1,710.272,-1,-1,-1
1,2,633.417,-1,-1,-1
1,1,751.669,-1,-1,-1
1,2,619.06,-1,-1,-1
1,1,697.979,-1,-1,-1
1,2,632.447,-1,-1,-1
1,1,708.583,-1,-1,-1
1,2,624.256,-1,-1,-1
1,1,624.972,-1,-1,-1
1,2,575.143,-1,-1,-1
1,1,695.07,-1,-1,-1
1,2,549.278,-1,-1,-1
1,1,769.391,-1,-1,-1
1,2,624.972,-1,-1,-1
1,1,720.186,-1,1,1
1,2,587.695,-1,1,1
1,1,723.657,-1,1,1
1,2,569.207,-1,1,1
1,1,703.7,-1,1,1
1,2,613.257,-1,1,1
1,1,697.626,-1,1,1
1,2,565.737,-1,1,1
1,1,714.98,-1,1,1
1,2,662.131,-1,1,1
1,1,657.712,-1,1,1
1,2,543.177,-1,1,1
1,1,609.989,-1,1,1
1,2,512.394,-1,1,1
1,1,650.771,-1,1,1
1,2,611.19,-1,1,1
1,1,707.977,-1,1,1
1,2,659.982,-1,1,1
1,1,712.199,-1,1,1
1,2,569.245,-1,1,1
1,1,709.631,-1,1,1
1,2,725.792,-1,1,1
1,1,703.16,-1,1,1
1,2,608.96,-1,1,1
1,1,744.822,-1,1,1
1,2,586.06,-1,1,1
1,1,719.217,-1,1,1
1,2,617.441,-1,1,1
1,1,619.137,-1,1,1
1,2,592.845,-1,1,1
2,1,753.333,1,1,1
2,2,631.754,1,1,1
2,1,677.933,1,1,1
2,2,588.113,1,1,1
2,1,735.919,1,1,1
2,2,555.724,1,1,1
2,1,695.274,1,1,1
2,2,702.411,1,1,1
2,1,504.167,1,1,1
2,2,631.754,1,1,1
2,1,693.333,1,1,1
2,2,698.254,1,1,1
2,1,625,1,1,1
2,2,616.791,1,1,1
2,1,596.667,1,1,1
2,2,551.953,1,1,1
2,1,640.898,1,1,1
2,2,636.738,1,1,1
2,1,720.506,1,1,1
2,2,571.551,1,1,1
2,1,700.748,1,1,1
2,2,521.667,1,1,1
2,1,691.604,1,1,1
2,2,587.451,1,1,1
2,1,636.738,1,1,1
2,2,700.422,1,1,1
2,1,731.667,1,1,1
2,2,595.819,1,1,1
2,1,635.079,1,1,1
2,2,534.236,1,1,1
2,1,716.926,1,-1,-1
2,2,606.188,1,-1,-1
2,1,759.581,1,-1,-1
2,2,575.303,1,-1,-1
2,1,673.903,1,-1,-1
2,2,590.628,1,-1,-1
2,1,736.648,1,-1,-1
2,2,729.314,1,-1,-1
2,1,675.957,1,-1,-1
2,2,619.313,1,-1,-1
2,1,729.23,1,-1,-1
2,2,624.234,1,-1,-1
2,1,697.239,1,-1,-1
2,2,651.304,1,-1,-1
2,1,728.499,1,-1,-1
2,2,724.175,1,-1,-1
2,1,797.662,1,-1,-1
2,2,583.034,1,-1,-1
2,1,668.53,1,-1,-1
2,2,620.227,1,-1,-1
2,1,815.754,1,-1,-1
2,2,584.861,1,-1,-1
2,1,777.392,1,-1,-1
2,2,565.391,1,-1,-1
2,1,712.14,1,-1,-1
2,2,622.506,1,-1,-1
2,1,663.622,1,-1,-1
2,2,628.336,1,-1,-1
2,1,684.181,1,-1,-1
2,2,587.145,1,-1,-1
3,1,629.012,1,-1,1
3,2,584.319,1,-1,1
3,1,640.193,1,-1,1
3,2,538.239,1,-1,1
3,1,644.156,1,-1,1
3,2,538.097,1,-1,1
3,1,642.469,1,-1,1
3,2,595.686,1,-1,1
3,1,639.09,1,-1,1
3,2,648.935,1,-1,1
3,1,439.418,1,-1,1
3,2,583.827,1,-1,1
3,1,614.664,1,-1,1
3,2,534.905,1,-1,1
3,1,537.161,1,-1,1
3,2,569.858,1,-1,1
3,1,656.773,1,-1,1
3,2,617.246,1,-1,1
3,1,659.534,1,-1,1
3,2,610.337,1,-1,1
3,1,695.278,1,-1,1
3,2,584.192,1,-1,1
3,1,734.04,1,-1,1
3,2,598.853,1,-1,1
3,1,687.665,1,-1,1
3,2,554.774,1,-1,1
3,1,710.858,1,-1,1
3,2,605.694,1,-1,1
3,1,701.716,1,-1,1
3,2,627.516,1,-1,1
3,1,382.133,1,1,-1
3,2,574.522,1,1,-1
3,1,719.744,1,1,-1
3,2,582.682,1,1,-1
3,1,756.82,1,1,-1
3,2,563.872,1,1,-1
3,1,690.978,1,1,-1
3,2,715.962,1,1,-1
3,1,670.864,1,1,-1
3,2,616.43,1,1,-1
3,1,670.308,1,1,-1
3,2,778.011,1,1,-1
3,1,660.062,1,1,-1
3,2,604.255,1,1,-1
3,1,790.382,1,1,-1
3,2,571.906,1,1,-1
3,1,714.75,1,1,-1
3,2,625.925,1,1,-1
3,1,716.959,1,1,-1
3,2,682.426,1,1,-1
3,1,603.363,1,1,-1
3,2,707.604,1,1,-1
3,1,713.796,1,1,-1
3,2,617.4,1,1,-1
3,1,444.963,1,1,-1
3,2,689.576,1,1,-1
3,1,723.276,1,1,-1
3,2,676.678,1,1,-1
3,1,745.527,1,1,-1
3,2,563.29,1,1,-1
4,1,778.333,-1,-1,1
4,2,581.879,-1,-1,1
4,1,723.349,-1,-1,1
4,2,447.701,-1,-1,1
4,1,708.229,-1,-1,1
4,2,557.772,-1,-1,1
4,1,681.667,-1,-1,1
4,2,593.537,-1,-1,1
4,1,566.085,-1,-1,1
4,2,632.585,-1,-1,1
4,1,687.448,-1,-1,1
4,2,671.35,-1,-1,1
4,1,597.5,-1,-1,1
4,2,569.53,-1,-1,1
4,1,637.41,-1,-1,1
4,2,581.667,-1,-1,1
4,1,755.864,-1,-1,1
4,2,643.449,-1,-1,1
4,1,692.945,-1,-1,1
4,2,581.593,-1,-1,1
4,1,766.532,-1,-1,1
4,2,494.122,-1,-1,1
4,1,725.663,-1,-1,1
4,2,620.948,-1,-1,1
4,1,698.818,-1,-1,1
4,2,615.903,-1,-1,1
4,1,760,-1,-1,1
4,2,606.667,-1,-1,1
4,1,775.272,-1,-1,1
4,2,579.167,-1,-1,1
4,1,708.885,-1,1,-1
4,2,662.51,-1,1,-1
4,1,727.201,-1,1,-1
4,2,436.237,-1,1,-1
4,1,642.56,-1,1,-1
4,2,644.223,-1,1,-1
4,1,690.773,-1,1,-1
4,2,586.035,-1,1,-1
4,1,688.333,-1,1,-1
4,2,620.833,-1,1,-1
4,1,743.973,-1,1,-1
4,2,652.535,-1,1,-1
4,1,682.461,-1,1,-1
4,2,593.516,-1,1,-1
4,1,761.43,-1,1,-1
4,2,587.451,-1,1,-1
4,1,691.542,-1,1,-1
4,2,570.964,-1,1,-1
4,1,643.392,-1,1,-1
4,2,645.192,-1,1,-1
4,1,697.075,-1,1,-1
4,2,540.079,-1,1,-1
4,1,708.229,-1,1,-1
4,2,707.117,-1,1,-1
4,1,746.467,-1,1,-1
4,2,621.779,-1,1,-1
4,1,744.819,-1,1,-1
4,2,585.777,-1,1,-1
4,1,655.029,-1,1,-1
4,2,703.98,-1,1,-1
5,1,715.224,-1,-1,-1
5,2,698.237,-1,-1,-1
5,1,614.417,-1,-1,-1
5,2,757.12,-1,-1,-1
5,1,761.363,-1,-1,-1
5,2,621.751,-1,-1,-1
5,1,716.106,-1,-1,-1
5,2,472.125,-1,-1,-1
5,1,659.502,-1,-1,-1
5,2,612.7,-1,-1,-1
5,1,730.781,-1,-1,-1
5,2,583.17,-1,-1,-1
5,1,546.928,-1,-1,-1
5,2,599.771,-1,-1,-1
5,1,734.203,-1,-1,-1
5,2,549.227,-1,-1,-1
5,1,682.051,-1,-1,-1
5,2,605.453,-1,-1,-1
5,1,701.341,-1,-1,-1
5,2,569.599,-1,-1,-1
5,1,759.729,-1,-1,-1
5,2,637.233,-1,-1,-1
5,1,689.942,-1,-1,-1
5,2,621.774,-1,-1,-1
5,1,769.424,-1,-1,-1
5,2,558.041,-1,-1,-1
5,1,715.286,-1,-1,-1
5,2,583.17,-1,-1,-1
5,1,776.197,-1,-1,-1
5,2,345.294,-1,-1,-1
5,1,547.099,1,-1,1
5,2,570.999,1,-1,1
5,1,619.942,1,-1,1
5,2,603.232,1,-1,1
5,1,696.046,1,-1,1
5,2,595.335,1,-1,1
5,1,573.109,1,-1,1
5,2,581.047,1,-1,1
5,1,638.794,1,-1,1
5,2,455.878,1,-1,1
5,1,708.193,1,-1,1
5,2,627.88,1,-1,1
5,1,502.825,1,-1,1
5,2,464.085,1,-1,1
5,1,632.633,1,-1,1
5,2,596.129,1,-1,1
5,1,683.382,1,-1,1
5,2,640.371,1,-1,1
5,1,684.812,1,-1,1
5,2,621.471,1,-1,1
5,1,738.161,1,-1,1
5,2,612.727,1,-1,1
5,1,671.492,1,-1,1
5,2,606.46,1,-1,1
5,1,709.771,1,-1,1
5,2,571.76,1,-1,1
5,1,685.199,1,-1,1
5,2,599.304,1,-1,1
5,1,624.973,1,-1,1
5,2,579.459,1,-1,1
6,1,757.363,1,1,1
6,2,761.511,1,1,1
6,1,633.417,1,1,1
6,2,566.969,1,1,1
6,1,658.754,1,1,1
6,2,654.397,1,1,1
6,1,664.666,1,1,1
6,2,611.719,1,1,1
6,1,663.009,1,1,1
6,2,577.409,1,1,1
6,1,773.226,1,1,1
6,2,576.731,1,1,1
6,1,708.261,1,1,1
6,2,617.441,1,1,1
6,1,739.086,1,1,1
6,2,577.409,1,1,1
6,1,667.786,1,1,1
6,2,548.957,1,1,1
6,1,674.481,1,1,1
6,2,623.315,1,1,1
6,1,695.688,1,1,1
6,2,621.761,1,1,1
6,1,588.288,1,1,1
6,2,553.978,1,1,1
6,1,545.61,1,1,1
6,2,657.157,1,1,1
6,1,752.305,1,1,1
6,2,610.882,1,1,1
6,1,684.523,1,1,1
6,2,552.304,1,1,1
6,1,717.159,-1,1,-1
6,2,545.303,-1,1,-1
6,1,721.343,-1,1,-1
6,2,651.934,-1,1,-1
6,1,750.623,-1,1,-1
6,2,635.24,-1,1,-1
6,1,776.488,-1,1,-1
6,2,641.083,-1,1,-1
6,1,750.623,-1,1,-1
6,2,645.321,-1,1,-1
6,1,600.84,-1,1,-1
6,2,566.127,-1,1,-1
6,1,686.196,-1,1,-1
6,2,647.844,-1,1,-1
6,1,687.87,-1,1,-1
6,2,554.815,-1,1,-1
6,1,725.527,-1,1,-1
6,2,620.087,-1,1,-1
6,1,658.796,-1,1,-1
6,2,711.301,-1,1,-1
6,1,690.38,-1,1,-1
6,2,644.355,-1,1,-1
6,1,737.144,-1,1,-1
6,2,713.812,-1,1,-1
6,1,663.851,-1,1,-1
6,2,696.707,-1,1,-1
6,1,766.63,-1,1,-1
6,2,589.453,-1,1,-1
6,1,625.922,-1,1,-1
6,2,634.468,-1,1,-1
7,1,694.43,1,1,-1
7,2,599.751,1,1,-1
7,1,730.217,1,1,-1
7,2,624.542,1,1,-1
7,1,700.77,1,1,-1
7,2,723.505,1,1,-1
7,1,722.242,1,1,-1
7,2,674.717,1,1,-1
7,1,763.828,1,1,-1
7,2,608.539,1,1,-1
7,1,695.668,1,1,-1
7,2,612.135,1,1,-1
7,1,688.887,1,1,-1
7,2,591.935,1,1,-1
7,1,531.021,1,1,-1
7,2,676.656,1,1,-1
7,1,698.915,1,1,-1
7,2,647.323,1,1,-1
7,1,735.905,1,1,-1
7,2,811.97,1,1,-1
7,1,732.039,1,1,-1
7,2,603.883,1,1,-1
7,1,751.832,1,1,-1
7,2,608.643,1,1,-1
7,1,618.663,1,1,-1
7,2,630.778,1,1,-1
7,1,744.845,1,1,-1
7,2,623.063,1,1,-1
7,1,690.826,1,1,-1
7,2,472.463,1,1,-1
7,1,666.893,-1,1,1
7,2,645.932,-1,1,1
7,1,759.86,-1,1,1
7,2,577.176,-1,1,1
7,1,683.752,-1,1,1
7,2,567.53,-1,1,1
7,1,729.591,-1,1,1
7,2,821.654,-1,1,1
7,1,730.706,-1,1,1
7,2,684.49,-1,1,1
7,1,763.124,-1,1,1
7,2,600.427,-1,1,1
7,1,724.193,-1,1,1
7,2,686.023,-1,1,1
7,1,630.352,-1,1,1
7,2,628.109,-1,1,1
7,1,750.338,-1,1,1
7,2,605.214,-1,1,1
7,1,752.417,-1,1,1
7,2,640.26,-1,1,1
7,1,707.899,-1,1,1
7,2,700.767,-1,1,1
7,1,715.582,-1,1,1
7,2,665.924,-1,1,1
7,1,728.746,-1,1,1
7,2,555.926,-1,1,1
7,1,591.193,-1,1,1
7,2,543.299,-1,1,1
7,1,592.252,-1,1,1
7,2,511.03,-1,1,1
8,1,740.833,-1,-1,1
8,2,583.994,-1,-1,1
8,1,786.367,-1,-1,1
8,2,611.048,-1,-1,1
8,1,712.386,-1,-1,1
8,2,623.338,-1,-1,1
8,1,738.333,-1,-1,1
8,2,679.585,-1,-1,1
8,1,741.48,-1,-1,1
8,2,665.004,-1,-1,1
8,1,729.167,-1,-1,1
8,2,655.86,-1,-1,1
8,1,795.833,-1,-1,1
8,2,715.711,-1,-1,1
8,1,723.502,-1,-1,1
8,2,611.999,-1,-1,1
8,1,718.333,-1,-1,1
8,2,577.722,-1,-1,1
8,1,768.08,-1,-1,1
8,2,615.129,-1,-1,1
8,1,747.5,-1,-1,1
8,2,540.316,-1,-1,1
8,1,775,-1,-1,1
8,2,711.667,-1,-1,1
8,1,760.599,-1,-1,1
8,2,639.167,-1,-1,1
8,1,758.333,-1,-1,1
8,2,549.491,-1,-1,1
8,1,682.5,-1,-1,1
8,2,684.167,-1,-1,1
8,1,658.116,1,-1,-1
8,2,672.153,1,-1,-1
8,1,738.213,1,-1,-1
8,2,594.534,1,-1,-1
8,1,681.236,1,-1,-1
8,2,627.65,1,-1,-1
8,1,704.904,1,-1,-1
8,2,551.87,1,-1,-1
8,1,693.623,1,-1,-1
8,2,594.534,1,-1,-1
8,1,624.993,1,-1,-1
8,2,602.66,1,-1,-1
8,1,700.228,1,-1,-1
8,2,585.45,1,-1,-1
8,1,611.874,1,-1,-1
8,2,555.724,1,-1,-1
8,1,579.167,1,-1,-1
8,2,574.934,1,-1,-1
8,1,720.872,1,-1,-1
8,2,584.625,1,-1,-1
8,1,690.32,1,-1,-1
8,2,555.724,1,-1,-1
8,1,677.933,1,-1,-1
8,2,611.874,1,-1,-1
8,1,674.6,1,-1,-1
8,2,698.254,1,-1,-1
8,1,611.999,1,-1,-1
8,2,748.13,1,-1,-1
8,1,530.68,1,-1,-1
8,2,689.942,1,-1,-1
